STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	1075	FORTUNA UNION HIGH SCHOOL DIST	2013	9812	683	4077	5052	10294	5166	3873	238	531
California	332	FRESHWATER ELEM SCH DIST	2013	2850	228	1660	962	2870	1953	662	197	0
California	62	GARFIELD ELEM SCH DIST	2013	588	37	450	101	612	350	218	32	11
California	5	GREEN POINT ELEM SCH DIST	2013	201	21	151	29	204	111	93	0	0
California	164	HYDESVILLE ELEM SCH DIST	2013	1238	88	658	492	1293	840	375	70	0
California	427	JACOBY CREEK ELEM SCH DIST	2013	3227	163	1933	1131	3238	2187	808	191	0
California	1040	KLAMATH TRINITY JT UNIFIED JT SCH DIST	2013	19666	6142	11121	2403	15941	7926	6816	629	329
California	32	KNEELAND ELEM SCH DIST	2013	395	28	275	92	409	255	153	1	0
California	284	LOLETA UNION ELEM SCH DIST	2013	2481	407	1654	420	2493	1412	917	94	0
California	11	MAPLE CREEK SCH DIST	2013	214	37	146	31	216	93	122	1	0
California	794	MATTOLE UNIFIED SCHOOL DISTRICT	2013	6320	144	5400	776	5183	3307	1789	82	0
California	1145	MCKINLEYVILLE UNION ELEM SCH DIST	2013	9297	845	3265	5187	8960	5416	2514	392	2
California	21	ORICK ELEM SCH DIST	2013	464	39	315	110	1362	148	144	30	1040
California	63	BIG LAGOON ELEM SCH DIST	2013	591	68	340	183	686	311	327	45	0
California	303	RIO DELL ELEM SCH DIST	2013	2715	382	1798	535	2705	1775	677	158	0
California	0	ROHNERVILLE ELEM SCH DIST	2013	0	0	0	0	3459	0	0	0	0
California	238	SCOTIA UNION ELEM SCH DIST	2013	2695	205	2198	292	1972	1272	564	118	11
California	849	SOUTH BAY UNION ELEM SCH DIST	2013	7325	900	5030	1395	7037	4555	1703	357	184
California	742	SOUTH HUMBOLOT JT UNIF SCH DIST	2013	9048	700	3546	4802	13947	4631	3235	251	5368
California	172	TRINIDAD UNION ELEM SCH DIST	2013	1756	187	899	670	1821	975	498	93	163
California	515	FERNDALE UNIFIED SCHOOL DISTRICT	2013	4566	274	2429	1863	4483	2750	1312	103	48
California	3669	EUREKA CITY UNIFIED SCHOOL DISTRICT	2013	39170	4462	16582	18126	39448	18619	14030	2844	1273
California	374	PACIFIC UNION ELEM SCH DIST	2013	4328	381	2635	1312	3923	2389	1120	279	0
California	34	PENINSULA UNION SCH DIST	2013	548	64	362	122	552	249	245	33	0
California	3807	BRAWLEY ELEM SCH DIST	2013	32162	4543	22744	4875	32046	20128	9649	1645	437
California	1834	BRAWLEY UNION HIGH SCHOOL DIST	2013	17832	1578	11275	4979	16252	8976	5849	866	172
California	9203	CALEXICO UNIF SCH DIST	2013	82228	10941	60493	10794	79732	45666	27588	3420	2042
California	1191	CALIPATRIA UNIFIED SCH DIST	2013	14575	1197	5406	7972	11547	5887	4593	598	56
California	4113	CENTRAL UNION HIGH SCHOOL DIST	2013	39301	3511	26421	9369	36074	18536	13006	2446	1506
California	5996	EL CENTRO ELEM SCH DIST	2013	45876	6285	32163	7428	43618	26236	13266	2517	508
California	1170	HEBER ELEM SCH DIST	2013	10968	1231	7821	1916	10358	6457	3203	607	42
California	1586	HOLTVILLE UNIF SCH DIST	2013	16413	2094	10123	4196	15987	7676	5561	983	1324
California	3711	IMPERIAL UNIF SCH DIST	2013	31892	1953	20815	9124	29412	17319	9325	1246	721
California	135	MAGNOLIA UNION ELEM SCH DIST	2013	1079	50	783	246	1017	571	361	54	31
California	1267	MCCABE UNION ELEM SCH DIST	2013	9498	373	6691	2434	8889	5511	2905	430	43
California	475	MEADOWS ELEM SCH DIST	2013	4757	583	3338	836	4635	3028	1311	242	16
California	91	MULBERRY ELEM SCH DIST	2013	833	56	575	202	835	347	405	83	0
California	770	SAN PASQUAL VAL UNIFIED SCH DIST	2013	12708	4885	5811	2012	12618	6733	5013	628	235
California	345	SEELEY UNION ELEM SCH DIST	2013	4205	928	2695	582	4155	2359	1341	229	174
California	364	WESTMORLAND UNION ELEM SCH DT	2013	3911	617	2352	942	3664	2087	1272	265	1
California	0	IMPERIAL VALLEY ROP JPA	2013	7988	2384	2712	2892	7681	2942	4739	0	0
California	186	BIG PINE UNI SCH DIST	2013	3794	507	589	2698	3900	1653	1083	128	918
California	28	DEATH VALLEY UNIF SCH DIST	2013	1325	92	449	784	1290	539	653	62	36
California	385	LONE PINE UNIF SCH DIST	2013	7765	493	1647	5625	7257	3502	2108	259	385
California	71	OWENS VALLEY UNIFIED SCH DIST	2013	1933	81	151	1701	1907	1142	583	47	47
California	146	ROUND VALLEY ELEM SCH DIST	2013	1573	105	526	942	1420	765	494	68	22
California	1985	BISHOP UNIFIED SCHOOL DISTRICT	2013	19849	2762	6812	10275	19357	11646	6748	623	93
California	3159	ARVIN UNION SCH DIST	2013	30520	4826	19333	6361	31798	17795	9371	2672	259
California	28987	BAKERSFIELD ELEM SCH DIST	2013	279489	43081	207006	29402	305809	159596	84125	18261	41093
California	1730	BEARDSLEY ELEM SCH DIST	2013	15761	2249	7356	6156	15056	7351	5140	978	273
California	32	BELRIDGE ELEM SCH DIST	2013	1475	73	123	1279	1222	615	538	32	34
California	6	BLAKE ELEM SCH DIST	2013	177	34	88	55	171	95	69	7	0
California	342	BUTTONWILLOW UNION ELEM SCH DT	2013	3849	810	742	2297	3801	1889	1242	374	24
